Score,Word
0.1568259298801422,高階
0.13047046959400177,單眼
0.10512394458055496,市售
0.09896969050168991,後續
0.0940195694565773,售後
0.06507914513349533,非
0.0636197179555893,一定
0.05822286754846573,四重
0.043028220534324646,無線
0.041189044713974,輕度
0.038721948862075806,重度
0.030255606397986412,頂級
0.01922856830060482,視聽
-0.003740072948858142,潛在
-0.019651146605610847,中上
-0.022768579423427582,隱藏式
-0.06996097415685654,唯一
-0.08262765407562256,副
-0.0976003110408783,超級
-0.10031279921531677,頭號
-0.17168323695659637,獨家
