Post Title,Link,Date
Samsung One UI 5 進入 beta，Galaxy S22 嚐鮮 Android 13 新系統,https://chinese.engadget.com//samsung-previews-one-ui-5-beta-on-galaxy-s-22-smartphones-083031022.html,2022-08-08
"Galaxy S22 Bora 紫預購好禮公開，HK$300 折扣 + HK$2,266 額外禮遇",https://chinese.engadget.com//samsung-s22-bora-preorder-130039470.html,2022-08-02
Samsung 將為 Galaxy S22 加推「波拉紫」配色,https://chinese.engadget.com//samsung-galaxy-s22-bora-purple-153750697.html,2022-07-26
Samsung 會把部分 Galaxy S22 功能開放給舊款手機,https://chinese.engadget.com//samsung-one-ui-4-1-galaxy-s21-s20-z-fold-flip-3-070034489.html,2022-03-16
Samsung 為 Galaxy S22 加回效能限制功能的開關,https://chinese.engadget.com//samsung-galaxy-s-22-performance-throttling-update-available-050059845.html,2022-03-11
Samsung 或因 Galaxy S22 效能「封印」在韓面臨調查和集體訴訟,https://chinese.engadget.com//samsung-galaxy-s22-antitrust-and-class-action-lawsuit-020025836.html,2022-03-09
Samsung 將在近期的更新中為手機加回手動效能控制,https://chinese.engadget.com//samsung-performance-throttling-update-100020244.html,2022-03-05
Samsung Galaxy S22 系列香港預購、早鳥禮資訊在這邊,https://chinese.engadget.com//samsung-galaxy-s22-series-hk-pre-order-072113117.html,2022-02-18
"Samsung Galaxy S22 系列在台發表，Ultra 定價 NT$38,900 起",https://chinese.engadget.com//samsung-galaxy-s22-tab-s8-series-tw-085012012.html,2022-02-14
Samsung 承諾為旗艦產品提供四代 Android 升級,https://chinese.engadget.com//samsung-galaxy-s22-android-os-updates-four-years-181613508.html,2022-02-10
Samsung Galaxy S22 手機和 Tab S8 平板都支援透過 Google Duo 分享畫面,https://chinese.engadget.com//google-duo-live-sharing-on-samsung-galaxy-s22-tab-s8-series-155910241.html,2022-02-09
Samsung Galaxy S22 系列動手玩：Note 的舊酒新瓶,https://chinese.engadget.com//samsung-galaxy-s22-series-hands-on-150101156.html,2022-02-09
Samsung Unpacked 直播這邊看，Galaxy S22 Ultra 正式登場,https://chinese.engadget.com//samsung-2022-unpacked-livestream-083556487.html,2022-02-09
Samsung 新一代 S 新品將於 2 月 9 日登場,https://chinese.engadget.com//samsung-galaxy-unpacked-s-22-date-030715539.html,2022-01-26
Samsung Galaxy S22 Ultra 標配版縮水了，但沒有減價,https://chinese.engadget.com//samsung-galaxy-s-22-ultra-base-model-pricing-leak-040041152.html,2022-01-24
Samsung 將在二月帶來 Galaxy S 新旗艦,https://chinese.engadget.com//samsung-galaxy-s22-note-flagship-unpacked-2022-070040166.html,2022-01-21
據傳以 Galaxy S22 為主角的 Galaxy Unpacked 活動將在 2 月 8 日舉行,https://chinese.engadget.com//samsung-looks-set-to-hold-its-galaxy-unpacked-2022-event-on-february-8th-145330783.html,2022-01-10
疑似 Galaxy S22 Ultra 新諜照顯示內藏的 S-Pen,https://chinese.engadget.com//samsung-galaxy-s22-ultra-photos-leak-035923355.html,2021-11-07
諜照暗示 Galaxy S22 Ultra 會繼承 Note 的 S-Pen 筆槽,https://chinese.engadget.com//samsung-galaxy-s22-plus-ultra-design-leaks-060004818.html,2021-09-26
