Post Title,Link,Date
微軟終於將第一代 Surface Duo 更新到了 Android 11,https://chinese.engadget.com//microsoft-surface-duo-android-11-update-083006022.html,2022-01-25
來看看微軟已取消開發的雙屏裝置專用 Andromeda OS 是長什麼樣子,https://chinese.engadget.com//microsoft-andromeda-hands-on-video-150031350.html,2022-01-22
第一代 Surface Duo 將在年底前獲得 Android 11 升級,https://chinese.engadget.com//microsoft-surface-duo-android-11-update-113022220.html,2021-09-24
微軟將於 9 月 22 日晚舉辦一場 Surface 發表會,https://chinese.engadget.com//microsoft-surface-event-september-172110668.html,2021-09-02
洩漏出來的微軟 Surface Duo 2 有著巨大的三鏡頭突起,https://chinese.engadget.com//microsoft-surface-duo-2-images-leak-010035544.html,2021-07-27
微軟把 Surface Duo 的第二螢幕變成 Xbox 雲端遊戲的控制器,https://chinese.engadget.com//microsoft-surface-duo-gamepad-xbox-cloud-063017104.html,2021-05-25
Surface Duo 水貨登陸香港，價格不菲啊！,https://chinese.engadget.com//surface-duo-hk-parallel-import-114735560.html,2020-09-24
Surface Duo 水貨動手玩,https://chinese.engadget.com//surface-duo-hk-hands-on-101227043.html,2020-09-24
iFixit 拆開 Surface Duo 後發現了「令人耳目一新的簡潔鉸鏈設計」,https://chinese.engadget.com//microsoft-surface-duo-teardown-060034340.html,2020-09-13
"微軟的 Surface Duo 手機 9 月 10 日上市，定價 US$1,399",https://chinese.engadget.com//microsoft-surface-duo-android-september-10-shipping-093006013.html,2020-08-12
Surface Duo 或將能讓你「偷看」一下通知,https://chinese.engadget.com//chinese-2020-02-27-surface-duo-peek-notification-feature.html,2020-02-27
微軟雙屏機正式推出前，先試用 Windows 10X 模擬器吧,https://chinese.engadget.com//chinese-2020-02-12-microsoft-windows-10x-dual-screen-sdk.html,2020-02-12
微軟發布了 Surface Duo 預覽版軟體開發工具包,https://chinese.engadget.com//chinese-2020-01-23-microsoft-surface-duo-developer-tools.html,2020-01-23
Dell 打造了一對雙螢幕與折疊螢幕概念筆電,https://chinese.engadget.com//chinese-2020-01-06-dell-concept-ori-duet-foldable-dual-screen-pc-hands-on-2020.html,2020-01-07
