Score,Word
0.17158252000808716,直立式
0.16959747672080994,劣質
0.15738753974437714,市售
0.14124873280525208,慢速
0.13418756425380707,可調式
0.11949136853218079,多餘
0.1127067357301712,前置
0.10501378029584885,原先
0.09370094537734985,日常
0.0925070270895958,可用
0.08832161873579025,雙待
0.08158201724290848,一樣式
0.07364388555288315,多工
0.07181701809167862,同級
0.05450204759836197,新一
0.03775768354535103,大致
0.03767043352127075,個別
0.03612132370471954,長足
0.0346260666847229,舊有
0.027790402993559837,獨家
-0.005455293692648411,細部
-0.01846371591091156,頂規
-0.028046173974871635,科幻
-0.03150438144803047,最佳
-0.03804391250014305,不折不扣
-0.05810794234275818,獨門
-0.10616999864578247,純粹
-0.12579117715358734,必備
