Post Title,Link,Date
Pixel 6、6 Pro 的五月更新修復了通知震動過弱的問題,https://chinese.engadget.com//google-pixel-6-may-update-010015008.html,2022-05-04
Google Pixel 6 的四月更新來到，帶來相機、無線充電等多個修正,https://chinese.engadget.com//pixel-6-april-update-arrives-on-schedule-fixing-camera-and-charging-issues-120031019.html,2022-04-05
Pixel 6 和 6 Pro 終於也等到三月更新了,https://chinese.engadget.com//googles-march-feature-drop-is-finally-rolling-out-to-the-pixel-6-and-6-pro-070052136.html,2022-03-22
Google 承諾修復 Pixel 6 Wi-Fi 連線問題,https://chinese.engadget.com//google-pixel-6-wifi-issues-fix-march-update-043058743.html,2022-02-23
Pixel 6 最大賣點「魔術橡皮擦」是引起 Google Photo 出問題的元兇,https://chinese.engadget.com//pixel-6-magic-eraser-google-photos-crash-120026162.html,2022-02-05
Google 開始恢復推送延遲的 Pixel 6 與 6 Pro 更新,https://chinese.engadget.com//google-pixel-6-pro-december-update-rolling-out-080011014.html,2022-01-15
Google 暫緩 Pixel 6 / 6 Pro 定期系統更新，優先解決通話問題,https://chinese.engadget.com//google-pauses-pixel-6-pro-december-update-call-dropping-110002135.html,2022-01-02
Google 修復了一個會隨機撥打電話給聯絡人的 Pixel 6 臭蟲,https://chinese.engadget.com//google-fixes-pixel-6-auto-dialing-bug-020037092.html,2021-11-14
Google 稱 Pixel 6 指紋辨識慢是因為「加強的安全演算法」,https://chinese.engadget.com//google-pixel-6-slow-fingerprint-sensor-060002487.html,2021-11-08
Pixel 6 系列的充電功率並不能達到 Google「宣傳」的 30W,https://chinese.engadget.com//google-pixel-6-30w-fast-charging-claims-100040461.html,2021-11-07
Google 承諾在下月的更新中修復 Pixel 6 Pro 的螢幕閃爍問題,https://chinese.engadget.com//google-confirms-pixel-6-pro-display-flickering-issue-will-be-fixed-next-month-010049318.html,2021-11-02
Pixel 6 及 6 Pro 水貨登陸香港，即場試玩魔術橡皮擦,https://chinese.engadget.com//pixel-6-pro-hk-trinity-electronic-magic-eraser-100046775.html,2021-10-31
Google Pixel 6、6 Pro 主站評測：超值旗艦,https://chinese.engadget.com//google-pixel-6-and-pixel-6-pro-review-specs-camera-samples-battery-test-161525724.html,2021-10-26
Pixel 6 與 6 Pro 台灣價格出爐，意外加映 Nest Hub,https://chinese.engadget.com//pixel-6-pixel-6-pro-nest-hub-tw-193822661.html,2021-10-20
Google Pixel 6 發佈會整理：實機動手玩、價格都在這裡，還有 Android 12 推送時程,https://chinese.engadget.com//google-pixel-6-event-tensor-pixel-pass-113041053.html,2021-10-20
Quick Tap to Snap 是 Snapchat 讓 Pixel 6 優先使用的功能,https://chinese.engadget.com//pixel-6-quick-tap-to-snap-snapchat-185813510.html,2021-10-20
Google Pixel 6 能隨著你打字翻譯文字,https://chinese.engadget.com//pixel-6-live-translate-ai-google-tensor-chip-182150736.html,2021-10-20
Google 想靠 Real Tone 讓 Android 系統相機變得更有種族包容性,https://chinese.engadget.com//android-camera-skin-tone-inclusive-pixel-google-171113184.html,2021-10-20
Pixel 6 與 6 Pro 主站動手玩: Google 重回旗艦市場之作,https://chinese.engadget.com//google-pixel-6-and-6-pro-hands-on-tensor-features-camera-specs-available-price-170151398.html,2021-10-20
Google Pixel 6 產品頁意外上線，透露提供 5 年安全性更新,https://chinese.engadget.com//google-pixel-6-pro-five-years-android-updates-082042253.html,2021-10-10
Google 宣佈 Pixel 6 系列將在 10 月 20 日凌晨正式登場,https://chinese.engadget.com//google-pixel-6-event-smartphone-191309864.html,2021-10-06
Pixel 6 與 Pixel 6 Pro 將會採用 Google 自行設計的「Tensor」處理器,https://chinese.engadget.com//google-pixel-6-pixel-6-pro-first-look-tensor-processor-better-cameras-172020419.html,2021-08-03
