Score,Word
0.2730248272418976,長焦
0.26934826374053955,前置
0.20058366656303406,雙鏡
0.12746283411979675,新款
0.1179751381278038,中高階
0.0958000048995018,雙色
0.08139600604772568,多工
0.08036993443965912,同級
0.08007342368364334,全平
0.07337810099124908,原本
0.07291046530008316,中低階
0.06443463265895844,些微
0.060335323214530945,雙聯
0.03663639724254608,紫藍
0.02500523068010807,雙生
0.012059502303600311,市售
0.0077796271070837975,額外
-0.003300904529169202,一貫
-0.005821114405989647,可用
-0.022732116281986237,天藍
-0.023025812581181526,舊有
-0.02516409195959568,複合
-0.034447383135557175,祖傳
-0.046232324093580246,全面
-0.04643155634403229,分割式
-0.05502131208777428,最終
-0.05722275748848915,撇除
-0.07647907733917236,開放式
-0.08538336306810379,必備
-0.09917479008436203,綜合
-0.10306242853403091,非
