Post Title,Link,Phone_Name,Brand_Name
"['1"" 相機攝力比試！Sony Xperia Pro-I VS Sharp Aquos R7']",https://www.dcfever.com/news/readnews.php?id=33457,Sony Xperia Pro-I,sony
['Sony Xperia 1 IV VS Xperia Pro-I 攝力比試'],https://www.dcfever.com/news/readnews.php?id=33009,Sony Xperia Pro-I,sony
['Leica、Zeiss、Hasselblad 鏡頭手機色彩對決'],https://www.dcfever.com/news/readnews.php?id=32903,Sony Xperia Pro-I,sony
['【行情速遞】Sony Xperia Pro-I、Xperia 1 III、Xperia 5 III 全面減價'],https://www.dcfever.com/news/readnews.php?id=32341,Sony Xperia Pro-I,sony
['Sony Xperia Pro-I VS Samsung Galaxy S21 Ultra 盲測'],https://www.dcfever.com/news/readnews.php?id=32266,Sony Xperia Pro-I,sony
['【新機實測】Sony Xperia Pro-I 可取代相機？與 Xperia 1 III、RX100 V 大比拼'],https://www.dcfever.com/news/readnews.php?id=32167,Sony Xperia Pro-I,sony
"['Sony Xperia Pro-I 1"" 相機解密：開發部門專訪']",https://www.dcfever.com/news/readnews.php?id=31911,Sony Xperia Pro-I,sony
['Sony Xperia Pro-I 開箱：看看這走塑包裝有何驚喜'],https://www.dcfever.com/news/readnews.php?id=31895,Sony Xperia Pro-I,sony
['【攝力分析】Sony Xperia Pro-I 終於有機取代一般 DC？'],https://www.dcfever.com/news/readnews.php?id=31820,Sony Xperia Pro-I,sony
"['Sony Xperia Pro-I 實試：1"" Sensor 手機威力先睹為快']",https://www.dcfever.com/news/readnews.php?id=31716,Sony Xperia Pro-I,sony
"['Sony Xperia Pro-I 發表香港有價：不一樣的 1"" Sensor、首發 4K 120fps 錄影']",https://www.dcfever.com/news/readnews.php?id=31714,Sony Xperia Pro-I,sony
