Post Title,Link,Date,Content
新年換新機，入手紅色 iPhone 13 應節又行善,https://chinese.engadget.com//apple-iphone-productred-new-year-060028918.html,2022-01-12,"['Engadget 編輯團隊致力為你蒐羅優質產品及優惠價格，文章內部份連結商戶與 Engadget 有合作關係，定價及供應量有機會更改，一切以商戶最新資料為凖。', '']"
iPhone 13 Pro 系列實用評測：升級很。有。感,https://chinese.engadget.com//apple-iphone-13-pro-max-review-070038632.html,2021-11-15,"['iPhone 佔據了智慧型手機的半壁江山，所以每次升級、加入的新功能都會廣泛地影響到一般民眾，尤其是現在的 Pro 系列機種都引入了很多所謂「專業級」功能。到底我們一般人可以如此應用？是否可以受惠到日常的生活？還是其實是完全過剩、過強的效能，裝飾用途比較多呢？', '小編這回就特別多花了點時間，好好研究到底 iPhone 13 Pro 系列的各個升級，是如何能融入日常生活，提升自己的數位生活體驗吧。', '相比重量的增加，iPhone 13 Pro 系列兩機變厚的幅度已經是小事了，更大的影響反而是 6.1 吋的 iPhone 13 Pro 不再能跟同尺寸的 iPhone 13 共用一款手機殼。因為 13 Pro 的相機模組變大了很多，是跟 13 Pro Max 一樣的大小，但又因為在較小的機身，所以看起來 iPhone 13 Pro 的相機模組是特別巨大。', '再來的設計改變就是螢幕上面的瀏海了，iPhone 13 系列四機都換上新的 TrueDepth 原深感測鏡頭系統，把原本放在瀏海正中央的聽筒開孔改到螢幕邊緣，使得佔據的螢幕空間會較前代減少了 28%。然而就跟 iPhone 13 mini 一樣，雖然瀏海變小、兩旁額角空間變多了，但顯示的內容也沒有變多，僅是圖示之間的空間變更多而已，就看 Apple 會否在日後的系統更新再加入吧。就如手機殼一樣，iPhone 13 Pro 系列也是需要用新設計的螢幕保護貼，新機主記得注意囉。', '最後就是新顏色了，iPhone 13 Pro 系列獨享新的天峰藍色，這是一款像是偏粉藍色調的配色，同時又有一點點銀色，在通過霧面玻璃再透出來的效果，感覺蠻有金屬的感覺，個人是覺得這個新顏色較去年的太平洋藍色更耐看。不知道大家又怎樣想呢？', 'iPhone 13 Pro 系列的螢幕除了有新設計的瀏海，還有新的規格。iPhone 13 Pro 的 6.1 吋螢幕、iPhone 13 Pro Max 的 6.7 螢幕，都一起升級到「超級 Retina XDR 顯示器採用 ProMotion 更新頻率自動適應技術」，非常長的名字！簡單來說，就是 iPhone 13 Pro 系列終於有 120Hz 的自適應高刷新率能力啦。', '小編過去都覺得 iOS 的動畫過渡都已經足夠流暢，即使在 Android 陣營不停衝規格的情況下，iPhone 還是沒有輸太多，而且還有比較省電的好處（畢竟電池一向比較小）。不過在看到 iPhone 13 Pro 上的表現後，小編瞬間被打臉，高刷新率顯示就是更滑順，是單靠動畫無法比擬的。如此一來過去的藉口就像把頭埋在沙裡的駝鳥，自欺欺人而已。不過更重要的是，在小編主力使用的 iPhone 13 Pro 之上，續航力似乎沒有被高刷新率的新特性影響，電量還是輕鬆的撐過一天。', '在高刷新率之外，iPhone 13 Pro 系列也跟 iPhone 13 系列一樣，有著更高的螢幕亮度，典型的部分由 800 尼特增加至 1,000 尼特，這對於大太陽底下使用 iPhone 是特別有幫助的。', '前代 iPhone 12 Pro 系列，是在 iPhone 12 Pro Max 上才會有最強的相機功能，也就是「感應器移動式光學影像防震功能」。然而整個 iPhone 13 系列，這就成了標配，所以相機模組也變得更大，也是讓小編可以重回 6.1 吋 iPhone 13 Pro 的懷抱的原因之一。', 'iPhone 13 Pro 系列沿用三顆 12MP 相機組合，不過裡面的鏡頭、CMOS 都是換新的，功能也變更豐富，可說是近年最徹底的相機升級。廣角相機是更大的 f/1.5，感光器的畫素尺寸也提升至 1.9µm 之大，所以聚光能力可以較過往提升 2.2 倍之多，可想而知就是低光拍攝的表現也會有長足的進步。長焦相機更是帶來更遠的 3 倍放大效果，是能拍攝更遠事物的等距 77mm 鏡頭。最後壓軸介紹的是具有 f/1.8 大光圈、120° 視角的超廣角相機，它的最大賣點更是加入了微距拍攝的能力，可以把相機（iPhone）放到 2cm 的距離來近拍，特別適合時下的人要在社交平台上近拍分享（炫耀）。', '規格來看就很厲害，但是大家又會怎樣感受到這些升級呢？小編在這邊就分享一下使用體驗吧。最主力使用的廣角相機，升級是非常有感的。平常在光線充足的地方拍攝自然很理想，重點是在昏暗環境也一樣厲害。就以規格所說，廣角相機進光量提升 2.2 倍之多，所以昏暗環境也能以接近日光下拍攝的快門速度來拍攝。最明顯能體驗到的，是在 iPhone 12 Pro Max 也會自動進入夜間拍攝模式的環境中，iPhone 13 Pro 也是無壓力的直接拍攝，而且出來的成像也是足夠清晰的，免卻了因為長時間曝光而出現的影像瑕疵。', '就像上圖，小編是在拍攝躲到沙發底下的小貓，肉眼其實也難以看清全貌，但 iPhone 13 Pro 卻只需要在夜間模式下的 2 秒左右長曝光之下就能完成拍攝，而且出來的成像非常清晰。', 'iPhone 13 Pro 的超廣角相機因為能兼任微距相機，使得實用性大增！小編會到今天才動筆來寫，其實也是在等 iOS 15.1 的登場，不是刻意在拖！因為 Apple 在 iPhone 13 Pro 剛推出的時候，預設是讓 iPhone 非常聰明、自動化地從廣角模式切換至「微距拍攝」，而且在介面上不會顯示正在使用超廣角相機，是有種幫倒忙的感覺。Apple 其實很快也接收到媒體們、使用者們的意見，在 iOS 15.1 更新之中，在設定頁中加入了自動切換微距相機的開關。小編現在是把「自動切換」關閉了，有需要的話就手動換到超廣角相機，iPhone 13 Pro 也同樣會有微距拍攝，但拍攝體驗會更清楚。', '上圖就是以超廣角相機拍攝棉花球的成像，可見除了中間的木紋之外，旁邊每一絲的棉絮都很清晰。', '最後就是 3 倍長焦相機，這個相機是三顆之中，小編覺得比較難用的一顆。不是說它的規格不好，而是單純不習慣現在是從 1 倍就跳至 3 倍的遠攝，一下子就會跳到有相當距離的遠處，距離感有點難抓。而遠攝的成像也有點微妙，沒錯是能清楚看到拍攝對像，但邊沿細節位置就略嫌不足，有些許油畫的感覺。', '在使用上，iPhone 13 系列新增的攝影風格模式，是能按照使用者的審美眼光來調整 iPhone 13 Pro 的成色，再配合等同四支鏡頭的三攝組合來使用，iPhone 13 Pro 系列可以說是有如掌上的專業級相機。', '靜態相片的拍攝很不錯，那動態影片的呢？iPhone 13 Pro 除了前代的 Dolby Atmos 4K HDR 錄製之外，這回還獨具 ProRes 影片編碼的支援，同時還有機內的簡易剪輯，包括調色、裁切等，讓使用者可以在回到電腦之前就率先把片段修整一下。', '至於 ProRes 影片編碼的好處在哪？我們一般用戶怎樣可以受惠呢？如果你是對於影片的細節很有要求，而且會回去後製的話，那就大有益處了。iPhone 13 Pro 所用的是 ProRes 422 HQ 的解析度，支援 10-bit 色深，每秒記錄量高達 214Mb/s。拍攝僅僅 10 秒的 1080p 解析度影片就要 309.9MB！一般的 H.264 編碼的 HEVC 卻只需要 11.3MB；錄影 4K 的話也自然就是乘以四倍大的 1.03GB 和 40MB 的差異，兩個編碼都是多了 20 倍以上的數據，可以想像到 ProRes 能保留的色彩、光暗資訊是有多豐富。過去只有重型、昂貴器材才能做到的超高畫質拍攝，今天只要一台輕巧的 iPhone 13 Pro / iPhone 13 Pro Max 就能做到，實在是相當驚人的！', '然而對於只想把眼前影像隨拍隨上傳的朋友來說，愈肥大的檔案就愈不利於分享到社交平台，因為行動數據的消耗也會隨之以倍數增加，有的服務更會再經壓縮，甚至是不支援的。所以 ProRes 的加入，實在是個劍走偏鋒的「賣點」。', '要用到這個 SharePlay，首先你自己要有在使用 iMessage 和 FaceTime，而且更要有 Apple TV App、Apple Music 以及其他受支援的 App Store App 內容共享，同時也有幾個使用相同平台和服務的朋友才可以。目前有支援的第三方服務不算多，而且大多都只有海外能用，像是 HBO Max、ESPN+、Hulu、Paramount+，這邊能用的目前就有 Twitch 和 TikTok 而已，或是剛剛推出的 Disney+。', '在首決條件都收集好之後，就可以先在設定裡找到「同播同享」，再開啟相關的功能。都完成之後就可以在 FaceTime 視訊通話時，切換到相關串流服務之中播放內容，並與對話的朋友一起觀看。是說，iPhone / iPad 的螢幕也能直接分享過去，雖然這有點像匯報就是了。', '最後一個有關 iOS 15 的小撇步就是跟大家分享一下如何在 iPhone 13 Pro（或其他 iOS 15 裝置）啟動遊戲模式！其實這個所謂的遊戲模式是有點取巧，概念也跟 Android 陣營的那種會提升處理效能的不一樣，iOS 15 的「遊戲模式」其實是「專注模式」，讓使用者在打遊戲的時候不會被其他通知、電話等的騷擾，不過這設定已經也足夠解決很多玩家的煩惱了。以下就來一步步的設定吧。', '首先大家可以到設定頁或快速工具列的「專注模式」，再按一下新增或 ＋ 符號，Apple 在裡面已經有預設了一個「遊戲專注模式」，點選後就會讓你選擇在模式開啟後仍會有通知的聯絡人和 app 的白名單，最後就是設定要否在 iPhone 13 Pro 連接藍牙遊戲控制器，即如 PS5、Xbox Series X 手把時，自動進入遊戲專注模式。就是這樣，大家之後在玩遊戲時就可以一併開啟專注模式，這樣就不會再有電話或訊息等打擾你的每場重要作戰啦！', '是說，Apple 的遊戲專注模式其實也有點笨拙的，因為相比 Android 端會自動辨識 app 的類別並把遊戲加入啟動的名單上，iOS 還是要使用者手動地逐一加入，相比之下真的麻煩。不過我們多給 Apple 一點時間來學習吧，畢竟一來就太像樣的話就尷尬吧。', 'iPhone 13 Pro 系列的續航力都有較前代提升，iPhone 13 Pro Max 更是號稱最有iPhone 史上最長影片播放時間的 28 小時，這代價有部分反映了在重量之上。小編主力使用的 iPhone 13 Pro，數據上是有著 22 小時的影片播放時間，較前代、更大台的 iPhone 12 Pro Max 還要多了 2 小時。所以去年以 12 Pro Max 為主力手機的小編，這回可以不多思考，直接就選用 13 Pro 啦。', '再來就是 iPhone 13 Pro 系列的效能部分，Apple 一直強調他們沒有盲衝處理器的分數什麼的，而是在軟、硬體兩方面的共同配合，讓 iPhone 產品可以有足夠好的使用體驗。不過既然坊間也有跑分工具可以用，那就順個便吧。就如大家所記得的，iPhone 13 Pro 和 iPhone 13 Pro Max 都是用上所謂高階版 A15 處理器，就是在標配的 6 核心 CPU 上，配合 5 核心的 GPU，形成了與 iPhone 13 系列在規格上的差異。', '跑分的成績也其實有在早前的幾個評測中有透露，iPhone 13 Pro 和 iPhone 13 Pro Max 都會有比較多的 6GB RAM，在針對運算的 Geekbeanch 5 中，獲得了單核 1,748；多核 4,868 的成績，比前代的 iPhone 12 Pro Max 分別提升了大約 10% 和 22%', '另外在針對圖像處理的 3D Mark Wild Life Extreme 的測試之中，更可以看到有 2,490 的分數。這在之前 iPad mini（第六代）的評測之中已經有說過，效能是要比高通 Snapdragon 888 處理器的 GPU 還要厲害，所以 iPhone 13 Pro 系列的圖像處理能力，絕對能比得上擁有諸多稱號、遊戲亮點的 Android 陣營。', '在一段比較長時間的使用 iPhone 13 Pro 之後，小編是有如標題的感受到 Apple 在這一世代的 iPhone Pro 系列手機之中，加入了能給使用者相當「有感」的升級。過往一段長時間以來，手機的換代升級都在效能、微妙的地方之中，使用者在日常使用時不一定能感受到。不過 iPhone 13 Pro 上面，更滑順的高刷新率螢幕、微距拍攝、長續航力、iOS 15 新功能，都是能直接改變、改善到我們在使用手機時的體驗，所以小編是認為這回的 iPhone 13 Pro，是近期最值得升級的一次新機型。']"
Casetify 雙 11 限定折扣，買得多減得多最高 75 折,https://chinese.engadget.com//20211110-casetify-1111-120053841.html,2021-11-10,"['Engadget 編輯團隊致力為你蒐羅優質產品及優惠價格，文章內部份連結商戶與 Engadget 有合作關係，定價及供應量有機會更改，一切以商戶最新資料為凖。', 'Casetify 在今年雙 11 推出超強限定折扣優惠，現在到官網購物，凡購買一件商品享九折、兩件享八折、三件或以上更可享達 25% 的折扣優惠，當中如果購買特強防摔手機殼的款式，單件便已享有 15% 的折扣！折扣會於 11 月 12 日結束，趁機盡情以優惠價搭配自己喜愛的手機配件。', '順帶一提，有關折扣不適用於聯乘系列，而且受條款及細則約束，詳細內容可查詢 Casetify 官方。', '為進一步加強保護性能，Casetify 的特強防摔手機殼在 4 個邊角添加了qìtech2.0 抗震物料，在測試中更達至驚人的 9.8 呎（約 3 米）掉落高度而無損。在物料方面它以 65% 回收物料及植物性物料製成，可支援使用無線充電。另外它們亦外層塗上 Defensify 抗菌塗層，有效消除 99% 細菌，在保護電話的同時保護你的身體健康。', '竹纖維可分解再生手機殼採用了 Casetify 研發的 ecotify 素材製成，融合生物聚合物、澱粉和竹子，能 100% 分解成二氧化碳、水和其他天然礦物質，不會殘留任何毒素，保護環境出一分力。它亦通過了 6.6 呎（約 2 米）防摔測試，提供足夠的保護性能。除此之外，它也支援無線及 MagSafe 充電功能，確保你能利用最方便的方式回復手機電力。', '著重儀容的你也可以選擇這款鏡面手機殼，它採用電鍍塗層聚碳酸酯製成，在不使用玻璃的情況下也能做到與鏡子相同的效果，能讓愛美的您在旅程中更方便整理儀容。鏡面手機殼在保護力方面亦不可看輕，它就通過 5 英尺（約 1.5 米）的跌落測試，不用擔心失手一碰就碎裂。', '液體流沙手機殼以熒光系色調以及可個性化的特點，打造出亮眼吸睛的設計，現在你可以從四款精選的雙色配搭中選擇，成為眾人目光中心外，以熱塑性聚氨酯製作的防震保護邊框亦能保證保護性能。', '']"
最佳禮物系列：五款可客製化手機殼展示貼心和個性,https://chinese.engadget.com//20211021-pinkoi-custom-123032635.html,2021-10-21,"['Engadget 編輯團隊致力為你蒐羅優質產品及優惠價格，文章內部份連結商戶與 Engadget 有合作關係，定價及供應量有機會更改，一切以商戶最新資料為凖。', '現代城市人手機不離身，手機殼不光能提供保護，還是展示個性的小道具。如果你剛好因為週年、生日或結婚紀念日等節日要選購禮物，這次就來為大家介紹一下可以客製化的手機殼，讓你展示貼心和關心，選對的話還可以在對方心目中加分呢。', '很多人都會用拍立得拍照，為美好的時光留下剪影，這款手機殼便可以讓你把與她拍攝，重要的拍立得照片放在機背，時時刻刻都能看到她，一人一個當成情侶手機殼也是相當不錯的。它採用了環保 TPU 材料製作，具有減震防撞效果，在四個角落更增加了防脫落的充氣囊，減少掉落時對手機所承受的損傷。', '「打分數」我們日常手活中常做的事，就好像是為食物打分數一般。這款手機殼就讓你可以為自己「打分數」，下單時輸入五項可以表達自己的簡單英文形容詞，示意圖中就利用了 rich level（富裕指數）等等，以最高分 5 星，最低分 0 星打分數。當然要送給伴侶的話，分數也絕對能反映到她收到禮物時的反映吧。', '大家在新一年開始的時候通常都會熱血地設好一大堆要做的事，但很多時候過幾天就會沒這回事了。這一年要不要試試新的方法，訂製一個有「待辦清單」的手機殼來提醒自己。', '這款手機殼能讓你設定最多 ９ 項的待辦事項或目標，並在旁邊加上可選打勾／不打勾的圈圈，每天都提醒自己要向目標進發，不要懶惰。', '正如設計師在商品介紹所說：「簡單 - 是最不簡單的事！」，沒有太多花巧的東西，就以實木木皮和防彈凱夫拉纖維壓製製成，紋理及款式方面有美麗木紋北美胡桃實木、花梨木及黑酸枝木，也有與黑色手機擁有優秀一體感的冰原黑硬木，一共四款可選（若下單時沒有你要的規格可以詢問店主訂購）。另外它亦可以要求客製刻字，五個中文字內、或英文 12 個字母內不需要額外付費。', '不過是香港、台灣還是其他地方，旅遊彷彿已是一件對每個人而言很遙遠的東西了。以這個概念為基礎，台灣的 Fitzory 設計館就為大家帶來了「明日航空」的手機殼，以香港、台灣及日本等的 8 個城市推出各有特色的設計。在無法自由旅行的現在，先幫自己預定好未來的機票。', '']"
Nomad 精製皮革配件推介： AirPods 3 保護殼,https://chinese.engadget.com//20211020-nomad-goods-080020580.html,2021-10-20,"['Engadget 編輯團隊致力為你蒐羅優質產品及優惠價格，文章內部份連結商戶與 Engadget 有合作關係，定價及供應量有機會更改，一切以商戶最新資料為凖。', 'Nomad 一向以造工優良的手機配件而聞名，特別是採用了 Horween 製革廠品質認証皮革製成的手機保護殼，其時尚、成熟外型以及天然皮革的觸感更是受到眾人追捧。', 'AirPods 3 剛剛推出，Nomad 便緊隨其後率先推出了專用的招牌 Horween 皮革保護殼，天然皮革在經過一定時間的使用後，皮革本身的顏色或質感方面都會有所變化，為你營造更獨特的保護殼。另外殼身採用了兩件式結構方便安裝，為了提高保護性亦選擇加入極細纖維內層，在旁邊也配置了掛繩連接點，可以用手繩等把 AirPods 掛在背囊或袋上。', 'AirTag 提供了一個讓人可以輕鬆追蹤物品的方法，但 Apple 本身推出的鑰匙圈和掛環配件都不方便放置錢包內，有見及此 Nomad 便推出了 AirTag 卡片。卡片本身有如信用卡的大小，用家可以輕鬆把 AirTag 鑲嵌在卡片中央並放進錢包內，即使掉失了有更大的機會尋回。（不包含 AirTag）', '現代皮革保護殼是 Nomad 最著名的產品，適用於 iPhone 13 系列的所有型號，雖然它採用了天然皮革作材料，但厚度適中不會影響到 MagSafe 或 NFC 功能等的使用。在防撞功能方面，Nomad 指這款保護殼能內部藏有氣墊，能夠在 10 尺（約 3 米）高度的掉落中保護手機，避免損毀。', '運動系列保護殼是 Nomad 為了喜歡簡約的用家而設，在手機背面採用了高光澤、易抓的設計。而它亦能提供基本的防掉落保護，能夠在 6 尺（約 2 米）高度的掉落中保護手機，另外它亦支援 MagSafe 無線充電。', '']"
網店自帶分期付款，彈性購買 iPhone 13,https://chinese.engadget.com//20210928-jselect-atome-080051220.html,2021-09-28,"['Engadget 編輯團隊致力為你蒐羅優質產品及優惠價格，文章內部份連結商戶與 Engadget 有合作關係，定價及供應量有機會更改，一切以商戶最新資料為凖。', '如果你急不及待想入手最新的 iPhone 13 或 Samsung Galaxy Z Fold 3，但手上現金又有點緊張？那麼你便可以選擇利用 J Select 與 Atome 合作提供的先享後付分期付款方案，把總金額分成三期購買，更可配合消費券使用，讓你可以更彈性地消費。', '除了 iPhone 13 以外，J Select 上亦有更多價錢較高的產品，能讓你充分應用 Atome 分期付款功能，更可購取不少亞洲萬里通積分兌換不同禮品、優惠或服務。', '說到近期最火熱的新手機，那便非 iPhone 13 莫屬。J Select 上也有提供 iPhone 13 系列產品，價錢方面與 Apple 官方售價一樣，但就能應用上面提到的 Atome 分期付款功能，以 256GB 版本的 iPhone 13 Pro Max 為例，原售價 HK$10,199 分能三期付款，每期需付金額只有 HK$3399.67，配合即將發放的消費券，便可輕鬆入手新手機。', '配備了 Snapdragon 888 八核心處理器，性能優異 Samsung Galaxy Z Fold 3 提供了不一樣的手機體驗，可打開的設計讓用家可以擁有更大觀賞空間，同時 120Hz 刷新率為機面屏幕和主屏幕帶來更流暢遊戲和觀賞體驗。', '12GB RAM、512GB 儲存空間的 Galaxy Z Fold 3 在 J Select 上以 HK$15,398 發售，或可分三期付款，每期為 HK$5,132.67。另外 256GB 儲存空間版本的 Fold 3 售價為 HK$14,598，或分三期付款，每期需付 HK$4,866。', '同樣採用了 Snapdragon 888 八核心處理器，Samsung Galaxy Z Flip 3 就走上另一個極端，摺疊後僅 4.2 吋設計讓它極致輕巧，可以收藏在衣物的小袋子內。另外在摺疊後亦可透過 1.9 吋的機面屏幕顯示通知及讓你直接操作手機，不論是查看訊息、拍照、播放音樂等等，都沒有需要展開手機。', '8GB RAM 以及 256GB 儲存空間的 Samsung Galaxy Z Flip 3 售價為 HK$8,298，以 Atome 分成三期付款的話，每期只需 HK$2,766。', '現在 J Select 上 Nintendo OLED Switch 的預購價為 HK$2,820，分成三期付款每期僅需 HK$940。', '']"
iPhone 13 配件推介、優惠合集,https://chinese.engadget.com//iphone-13-accessories-collection-140056081.html,2021-09-27,"['Engadget 編輯團隊致力為你蒐羅優質產品及優惠價格，文章內部份連結商戶與 Engadget 有合作關係，定價及供應量有機會更改，一切以商戶最新資料為凖。', '隨著 iPhone 13 正式推出市場，各式各樣的配件也隨之而來，這篇文章會為大家持續更新及整合 Engadget 中文版介紹過的 iPhone 13 專用配件。']"
成為全場焦點！Case-Mate iPhone 13 專用手機殼,https://chinese.engadget.com//20210927-casemate-110017564.html,2021-09-27,"['Engadget 編輯團隊致力為你蒐羅優質產品及優惠價格，文章內部份連結商戶與 Engadget 有合作關係，定價及供應量有機會更改，一切以商戶最新資料為凖。', 'Case-Mate 作為其中一個推出保護殼的大廠，設計及生產了不少既華麗又實用的手機殼，正好他們有在 Pinkoi 上有成立設計館，這次就為大家介紹一下它們的 iPhone 13、iPhone 13 Pro 以及 iPhone 13 Pro Max 的保護殼產品。', '此外 Pinkoi 為慶祝 @pinkoi_hk 的 Instagram 達到 40,000 Followers ，由現在起直至 9 月 30 訂單金額滿 HK$300 並輸入優惠券 「HoHappy」， 全單即享 6% 折扣！', '首先介紹一下 Case-Mate 的 iPhone 13 保護殼效能，它們可以提供 10 英尺（約 3 米）的掉落保護，它們部分亦兼容 Magsafe 無線充電。另外為了提供更全面的保護表面上更擁有 Micropel 專利技術的防菌塗層，長期抑制細菌、黴菌和藻類等微生物生長，達到守護健康的效果。', '', 'Case-Mate 一直有與 Rifle Paper Co. 合作推出花卉圖案主題的手機殼，設計上走復古的手繪風格，文青氣息濃烈。現在一共有三款不同圖案的 Rifle Paper Co. 聯乘手機殼可供 iPhone 13 用家使用，另外 Garden Party Blue 亦設有兼容 Magsafe 版本。', '', '', '', 'Soap Bubble 手機殼顧名思義，就是把肥皂泡的虹彩效果放到手機殼的背面上，成為設計的一部分，讓它可以透過反射燈光而達至不同的彩虹色漩渦效果。它亦支援 Magsafe 磁吸充電功能。', '這款 Iridescent 手機殼在設計上採用了虹彩色的背面，看起來十分亮眼，讓你可輕易成為目光焦點。', '為了極致提升保護效能，Pelican Shield Kelvar 手機殼採用了超堅硬物料 Aramid Fibers 製成，擁有 5 層保護外殼，使掉落保護效能加倍提升達 21 英尺（約 6.4 米）。同時它亦採用了防刮花技術等，適合認為自己手機需要加強保護的人士使用。', '同樣地把保護效能放在首位，Pelican Voyager 也達到了軍用級防摔的 18 英尺（約 5.4 米）跌落保護，另外它亦額外提供一個支架，讓用家可使用它輕鬆看影片。', '']"
Apple：第三方 app 需要更新才能完全利用 iPhone 13 Pro 的 120Hz 螢幕,https://chinese.engadget.com//apple-iphone-13-promotion-display-third-party-apps-020038947.html,2021-09-26,['過去在同樣 120Hz 的 iPad Pro 上，並沒有出現過類似的情況，這次手機被「設限」，可能也是出於續航力方面的考量。實際上，以前 Apple 在啟用新顯示技術的時候，開發者初期多少都要忍受一些陣痛，這次的高更新率估計也是一樣吧。']
超前準備，iPhone 13 專用 4 款螢幕保護貼推介,https://chinese.engadget.com//20210920-iphone-13-screen-protector-120034968.html,2021-09-20,"['Engadget 編輯團隊致力為你蒐羅優質產品及優惠價格，文章內部份連結商戶與 Engadget 有合作關係，定價及供應量有機會更改，一切以商戶最新資料為凖。', '提提大家，在 Amazon 上購物時金額需達到 US$49 才能享受免運費的優惠，不妨留意一下身邊的人有沒有人也需要新機的保護貼，又或是在站上同時購買其他需要的產品，即可節省金錢！', '這款由 Apple 獨家提供的 Belkin 螢幕保護貼除了可以防止括傷等可見的螢幕損傷，而且有效減輕來自太陽或燈光等的光線反射，即使在光亮的環境下依然能確保螢幕清晰度。它亦有著極度纖薄的 0.051 cm 厚度，因此不會影響手機的螢幕靈敏度以及多點觸控功能。', '購買它時還會隨附 Easy Align 托盤，讓你自己也可以精確地進行黏貼，裝保護貼不求人。', '如果你十分重視隱私，怕被周遭的人偷看到你的對話，那麼 Ailun 螢幕防窺貼會是個不錯的選擇。除了提供保護手機的功能，Ailun 的防窺貼亦可以防止手機正面以外的人看到內容，另外除了由於防窺特性在光亮度有微少影響，不會影響到螢幕的清晰度。 Ailun 指它可以維持 iPhone 螢幕 99.9% 的觸控準確，擁有防汗防油污的塗層外，同時設計上亦強調與不同形狀保護殼的相容性。', '另外它還提供 5% 的折扣券，在購買時點擊使用讓原價 US$8.99 的保護貼套裝減價至 US$8.54。', '雖說保護貼能夠防止手機螢幕受到直接損傷，但鏡頭亦是另一個很容易受損和弄髒，這款 Ｍkeke 保護貼套裝就提供了分別三片的鋼化玻璃螢幕保護貼和鏡頭保護貼，讓它們可以一直保持著完好無缺的狀態。', '另外它還提供 20% 折扣券，在購買時點擊使用讓原價 US$15.99 的保護貼套裝減價至 US$12.79。', 'ESR 強悍鋼化玻璃保護貼特化了本身的防護效能，官方數據指出它們可抵播最高 110 磅的力量防止螢幕損傷，同時亦設有防污塗層避免留下污痕或指紋。ESR 強調它的高清玻璃能讓用家體驗無瑕的手機觀看體驗，亦不會影響到 Face ID 的運作。隨附的框架可以協助你輕鬆安裝保護貼，即使自己安裝也可以避免出現氣泡。', '']"
