Score,Word
0.2225499302148819,可用
0.22001001238822937,原先
0.17707350850105286,高性能
0.1712663322687149,前置
0.16565141081809998,快充
0.150404155254364,新款
0.14175844192504883,台製
0.11788737773895264,中階
0.11213667690753937,長程
0.1109481230378151,雙前
0.1024143174290657,超大
0.10110805928707123,一體式
0.1005113422870636,國產
0.09436154365539551,既有
0.09331152588129044,原
0.089028000831604,重度
0.0850953608751297,隱藏式
0.07839091122150421,中置
0.060604602098464966,黑白
0.05749673396348953,適度
0.055090177804231644,長焦
0.04922263324260712,全面
0.03542214632034302,單側
0.03288642317056656,日常
0.03176658973097801,雙色
0.03054232709109783,高通
0.026591844856739044,副
0.020404215902090073,無印
0.016152398660779,二手
-0.006014013662934303,航太
-0.010036004707217216,售後
-0.016659608110785484,超好用
-0.01915896311402321,對稱式
-0.019824601709842682,非
-0.02107180655002594,雙重
-0.022166261449456215,原來
-0.037262145429849625,些微
-0.040727581828832626,磨砂
-0.058748260140419006,中上
-0.07742780447006226,霹靂
