Post Title,Link,Date
Google 發佈最後的 Pixel 3 安全更新,https://chinese.engadget.com//google-pixel-february-2022-update-security-090057764.html,2022-02-08
Google 已經停產 Pixel 5 與 Pixel 4a 5G 了,https://chinese.engadget.com//google-pixel-5-discontinued-100010450.html,2021-08-22
Google 否認傳聞：Pixel 5a 5G 仍會在今年推出,https://chinese.engadget.com//goolge-pixel-5a-5-g-confirmed-us-japan-020032566.html,2021-04-11
Pixel 5 的四月更新將會增強 GPU 效能,https://chinese.engadget.com//google-pixel-5-april-update-gpu-performance-boost-140042252.html,2021-04-06
Google Pixel 5、4a 5G 超廣角相機的天文攝影模式被取消了,https://chinese.engadget.com//google-removes-pixel-5-4a-5g-astrophotography-mode-023729023.html,2020-12-30
Google 使用有 64 個相機的特殊設備來訓練肖像打光的 AI,https://chinese.engadget.com//google-portrait-lighting-ai-technology-103030189.html,2020-12-13
部分 Pixel 5 功能被下放到老 Pixel 手機之上,https://chinese.engadget.com//google-pixel-5-features-older-pixel-phones-december-update-053050997.html,2020-12-08
Google Pixel 5 與 Pixel 4a 5G 對比評測：肩負新使命的新一代機種,https://chinese.engadget.com//pixel-5-pixel-4a-5g-review-083001764.html,2020-11-10
Google 稱 Pixel 5 用戶回報的螢幕縫隙問題「實屬正常」,https://chinese.engadget.com//google-pixel-5-screen-gaps-110026397.html,2020-11-05
Pixel 5 在插上電後會自動開啟「一小段時間」的反向無線充電,https://chinese.engadget.com//pixel-5-automatic-reverse-wireless-charging-083024980.html,2020-11-04
拆機報告揭開 Pixel 5 的金屬機身仍能無線充電的秘密,https://chinese.engadget.com//google-pixel-5-teardown-wireless-charging-083043721.html,2020-11-02
iPhone 12 超級比一比：5G 輕旗艦,https://chinese.engadget.com//apple-iphone-12-vs-pixel-5-galaxy-s20-190637927.html,2020-10-14
Hold for Me 通話等待助理功能自然會先登陸 Pixel 5 和 4a 5G,https://chinese.engadget.com//hold-for-me-duplex-pixel-5-4a-110037314.html,2020-10-01
Android 版 Google Photos 迎來全新編輯器,https://chinese.engadget.com//google-photos-for-android-has-a-powerful-new-editor-090004155.html,2020-10-01
定位意外相近的 Google Pixel 5 和 Pixel 4a 5G 聯袂登場,https://chinese.engadget.com//google-pixel-5-5g-pixel-4a-5g-191334299.html,2020-10-01
Google Pixel 5 與 Pixel 4a 5G 台灣售價意外由 Momo 漏出,https://chinese.engadget.com//google-pixel-5-pixel-4a-5g-momo-leak-tw-044333576.html,2020-09-30
Google 會在 9 月 30 日發表 Pixel 5 等多款新品,https://chinese.engadget.com//google-pixel-5-event-september-30-170215880.html,2020-09-15
Google Pixel 5、Pixel 4a 5G 實機諜照亮相,https://chinese.engadget.com//google-pixel-4a-5-image-leaks-030045783.html,2020-08-24
新諜照暗示 Google Pixel 5 的背面會有雙攝和指紋模組,https://chinese.engadget.com//google-pixel-5-leak-dual-camera-fingerprint-sensor-020002859.html,2020-08-22
