Score,Word
0.217306450009346,降頻
0.1875036656856537,中低階
0.16770657896995544,線性
0.16539181768894196,電動
0.15743878483772278,航太
0.1324012130498886,掀蓋式
0.12870152294635773,雙待
0.11900292336940765,專有
0.11523449420928955,高度
0.1148887351155281,國產
0.1119469627737999,加值
0.1024262011051178,潛望式
0.09348265826702118,超低
0.09071271121501923,低耗
0.08840007334947586,灰階
0.08393730223178864,複合式
0.08034344017505646,雙重
0.07850818336009979,舊式
0.07399388402700424,台式
0.06879329681396484,細部
0.06586332619190216,慢性
0.04690057411789894,後選
0.044588930904865265,偶發
0.044149015098810196,無框
0.04178658500313759,雙開
0.03974523767828941,下拉式
0.03731502220034599,多層面
0.03567894548177719,舊有
0.032138992100954056,微距
0.030705707147717476,雙數
0.029764249920845032,不可能
0.02440395951271057,黑白
0.02089850790798664,連續
0.020320281386375427,前任
0.018435264006257057,非人
0.016352571547031403,切換用
0.01617307774722576,現成
0.0069127012975513935,磁吸式
-0.0021874045487493277,零下
-0.0037357048131525517,一律
-0.005931619089096785,近拍
-0.005933092441409826,橫
-0.007993964478373528,副
-0.012689309194684029,特約
-0.012862601317465305,全額
-0.01464783027768135,一連串
-0.015930982306599617,正規
-0.01905170828104019,眾
-0.023266015574336052,概用
-0.024113474413752556,參考用
-0.029714522883296013,一貫
-0.03061792254447937,不耐用
-0.04085717350244522,難用
-0.04216279834508896,工作用
-0.04361719265580177,折衷
-0.05060010403394699,間歇
-0.05265098810195923,本來
-0.05611777305603027,慈善
-0.05930498242378235,嶄新
-0.05964614823460579,次等
-0.06213374808430672,活生生
-0.06507569551467896,手遊
-0.06842741370201111,最優
-0.0737040787935257,售前
-0.08415498584508896,高等
-0.09976451098918915,最好用
